1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.943567	1.000000	0.001540	1.5
1	-0.945048	1.000000	0.001420	0.7
2	-0.946401	1.000000	0.001287	0.7
3	-0.947626	1.000000	0.001161	0.7
4	-0.948723	1.000000	0.001034	0.7
5	-0.949713	1.000000	0.000939	0.7
6	-0.950581	1.000000	0.000834	0.7
7	-0.951360	1.000000	0.000737	0.7
8	-0.952057	1.000000	0.000665	0.7
9	-0.952704	1.000000	0.000630	0.8
10	-0.953322	1.000000	0.000604	0.8
11	-0.953917	1.000000	0.000580	0.7
12	-0.954490	1.000000	0.000573	0.8
13	-0.955039	1.000000	0.000548	0.7
14	-0.955583	1.000000	0.000537	0.7
15	-0.956133	1.000000	0.000551	0.7
16	-0.956675	1.000000	0.000535	0.7
17	-0.957211	1.000000	0.000531	0.7
18	-0.957730	1.000000	0.000510	0.9
19	-0.958224	1.000000	0.000505	0.9
20	-0.958729	1.000000	0.000503	0.7
21	-0.959220	1.000000	0.000480	0.7
22	-0.959691	1.000000	0.000462	0.7
23	-0.960136	1.000000	0.000452	0.7
24	-0.960568	1.000000	0.000438	0.7
25	-0.960996	1.000000	0.000419	0.8
26	-0.961395	1.000000	0.000407	0.7
27	-0.961795	1.000000	0.000393	0.8
28	-0.962178	1.000000	0.000375	0.8
29	-0.962545	1.000000	0.000360	0.9
30	-0.962872	1.000000	0.000345	0.8
31	-0.963196	1.000000	0.000328	0.8
32	-0.963518	1.000000	0.000316	0.9
33	-0.963824	1.000000	0.000298	0.8
34	-0.964115	1.000000	0.000286	0.8
35	-0.964395	1.000000	0.000274	0.7
36	-0.964665	1.000000	0.000264	0.7
37	-0.964923	1.000000	0.000253	0.7
38	-0.965158	1.000000	0.000242	0.8
39	-0.965384	1.000000	0.000232	0.8
40	-0.965610	1.000000	0.000221	0.9
41	-0.965816	1.000000	0.000213	1.1
42	-0.966016	1.000000	0.000207	0.8
43	-0.966219	1.000000	0.000200	0.7
44	-0.966414	1.000000	0.000192	0.8
45	-0.966590	1.000000	0.000182	0.8
46	-0.966768	1.000000	0.000176	0.8
47	-0.966930	1.000000	0.000170	0.7
48	-0.967096	1.000000	0.000162	0.7
49	-0.967254	1.000000	0.000156	0.7
50	-0.967407	1.000000	0.000151	0.8
51	-0.967545	1.000000	0.000146	0.8
52	-0.967679	1.000000	0.000143	0.8
53	-0.967820	1.000000	0.000140	0.7
54	-0.967947	1.000000	0.000137	0.7
55	-0.968083	1.000000	0.000133	0.8
56	-0.968213	1.000000	0.000128	0.7
57	-0.968338	1.000000	0.000124	0.7
58	-0.968459	1.000000	0.000119	0.7
59	-0.968577	1.000000	0.000119	0.8
60	-0.968689	1.000000	0.000121	0.8
61	-0.968795	1.000000	0.000122	0.9
62	-0.968901	1.000000	0.000126	1.1
63	-0.968987	1.000000	0.000127	0.8
64	-0.969086	1.000000	0.000120	0.7
65	-0.969166	1.000000	0.000118	0.7
66	-0.969263	1.000000	0.000120	0.7
67	-0.969354	1.000000	0.000128	0.7
68	-0.969437	1.000000	0.000135	0.8
69	-0.969520	1.000000	0.000136	0.8
70	-0.969605	1.000000	0.000136	0.9
71	-0.969691	1.000000	0.000135	0.9
72	-0.969779	1.000000	0.000134	1.0
73	-0.969867	1.000000	0.000134	0.7
74	-0.969949	1.000000	0.000138	0.7
75	-0.970042	1.000000	0.000138	0.7
76	-0.970140	1.000000	0.000142	0.7
77	-0.970231	1.000000	0.000147	0.7
78	-0.970329	1.000000	0.000147	0.7
79	-0.970428	1.000000	0.000149	0.7
80	-0.970538	1.000000	0.000145	0.7
81	-0.970649	1.000000	0.000144	0.9
82	-0.970775	1.000000	0.000142	0.8
83	-0.970896	1.000000	0.000144	1.0
84	-0.971019	1.000000	0.000145	0.7
85	-0.971143	1.000000	0.000143	0.7
86	-0.971271	1.000000	0.000144	0.7
87	-0.971400	1.000000	0.000141	0.8
88	-0.971533	1.000000	0.000136	0.6
89	-0.971648	1.000000	0.000139	0.7
90	-0.971781	1.000000	0.000134	0.7
91	-0.971893	1.000000	0.000130	0.7
92	-0.972018	1.000000	0.000129	0.7
93	-0.972124	1.000000	0.000127	0.8
94	-0.972240	1.000000	0.000125	0.7
95	-0.972338	1.000000	0.000132	0.7
96	-0.972431	1.000000	0.000135	0.7
97	-0.972521	1.000000	0.000129	0.7
98	-0.972609	1.000000	0.000132	0.7
99	-0.972683	1.000000	0.000137	0.7
100	-0.972761	1.000000	0.000138	0.7
101	-0.972825	1.000000	0.000140	0.7
102	-0.972903	0.500000	0.000142	0.9
103	-0.972951	0.500000	0.000094	0.8
104	-0.972998	0.500000	0.000093	1.0
105	-0.973044	0.500000	0.000091	0.7
106	-0.973088	0.500000	0.000089	0.8
107	-0.973132	0.500000	0.000089	0.7
108	-0.973176	0.500000	0.000087	0.7
109	-0.973220	0.500000	0.000087	0.7
110	-0.973253	0.500000	0.000084	0.7
111	-0.973295	0.500000	0.000083	0.7
112	-0.973327	0.500000	0.000082	0.7
113	-0.973367	0.500000	0.000080	0.8
114	-0.973407	0.500000	0.000078	0.8
115	-0.973445	0.500000	0.000078	0.8
116	-0.973483	0.500000	0.000076	0.7
117	-0.973521	0.500000	0.000076	0.7
118	-0.973566	0.500000	0.000075	0.6
119	-0.973603	0.500000	0.000074	0.7
120	-0.973639	0.500000	0.000073	0.7
121	-0.973675	0.500000	0.000072	0.7
122	-0.973711	0.500000	0.000072	0.7
123	-0.973746	0.500000	0.000070	0.7
124	-0.973780	0.500000	0.000069	0.8
125	-0.973813	0.500000	0.000068	0.8
126	-0.973847	0.500000	0.000068	1.0
127	-0.973880	0.500000	0.000068	0.7
128	-0.973913	0.500000	0.000068	0.7
129	-0.973944	0.500000	0.000068	0.7
130	-0.973973	0.500000	0.000072	0.8
131	-0.973999	0.500000	0.000076	0.7
132	-0.974023	0.500000	0.000078	0.7
133	-0.974048	0.500000	0.000078	0.8
134	-0.974072	0.500000	0.000079	0.7
135	-0.974086	0.500000	0.000080	0.7
136	-0.974117	0.500000	0.000081	0.7
137	-0.974122	0.500000	0.000078	0.7
138	-0.974154	0.500000	0.000073	0.7
139	-0.974169	0.500000	0.000072	0.7
140	-0.974194	0.500000	0.000072	0.7
141	-0.974216	0.500000	0.000076	0.8
142	-0.974237	0.500000	0.000075	0.7
143	-0.974250	0.500000	0.000072	0.8
144	-0.974271	0.500000	0.000073	0.7
145	-0.974292	0.500000	0.000072	0.9
146	-0.974314	0.500000	0.000069	1.1
147	-0.974344	0.500000	0.000068	0.8
148	-0.974358	0.500000	0.000068	0.7
149	-0.974387	0.500000	0.000070	0.8
150	-0.974407	0.500000	0.000072	0.8
151	-0.974426	0.500000	0.000071	0.8
152	-0.974447	0.500000	0.000068	0.8
153	-0.974467	0.500000	0.000068	0.8
154	-0.974488	0.500000	0.000068	0.8
155	-0.974507	0.500000	0.000071	0.8
156	-0.974526	0.500000	0.000073	0.8
157	-0.974545	0.500000	0.000074	0.9
158	-0.974562	0.250000	0.000076	0.8
159	-0.974576	0.250000	0.000052	0.8
160	-0.974589	0.250000	0.000051	7.4
161	-0.974601	0.250000	0.000050	12.7
162	-0.974614	0.250000	0.000049	4.2
163	-0.974626	0.250000	0.000048	1.7
164	-0.974638	0.250000	0.000048	1.0
165	-0.974650	0.250000	0.000048	2.0
166	-0.974661	0.250000	0.000048	2.0
167	-0.974673	0.250000	0.000048	3.0
168	-0.974685	0.250000	0.000048	4.0
169	-0.974697	0.250000	0.000048	3.9
170	-0.974709	0.250000	0.000047	4.4
171	-0.974712	0.250000	0.000048	4.2
172	-0.974724	0.250000	0.000048	4.6
173	-0.974736	0.250000	0.000048	2.4
174	-0.974748	0.250000	0.000047	1.6
175	-0.974759	0.250000	0.000046	1.0
176	-0.974770	0.250000	0.000046	0.8
177	-0.974774	0.250000	0.000046	0.8
178	-0.974785	0.250000	0.000046	0.7
179	-0.974797	0.250000	0.000047	0.7
180	-0.974808	0.250000	0.000047	1.0
181	-0.974819	0.250000	0.000047	1.1
182	-0.974831	0.250000	0.000046	0.9
183	-0.974842	0.250000	0.000045	0.8
184	-0.974853	0.250000	0.000046	0.7
185	-0.974864	0.250000	0.000046	0.7
186	-0.974875	0.250000	0.000046	0.7
187	-0.974887	0.250000	0.000046	0.8
188	-0.974898	0.250000	0.000047	0.7
189	-0.974901	0.250000	0.000047	0.8
190	-0.974913	0.250000	0.000046	0.8
191	-0.974924	0.250000	0.000046	0.9
192	-0.974936	0.250000	0.000046	0.8
193	-0.974947	0.250000	0.000046	0.9
194	-0.974958	0.250000	0.000046	0.7
195	-0.974969	0.250000	0.000045	0.7
196	-0.974980	0.250000	0.000044	0.7
197	-0.974991	0.250000	0.000044	0.7
198	-0.975001	0.250000	0.000043	0.7
199	-0.975012	0.250000	0.000043	0.7
200	-0.975022	0.250000	0.000043	0.8
201	-0.975033	0.250000	0.000042	1.0
202	-0.975043	0.250000	0.000042	1.1
203	-0.975053	0.250000	0.000042	0.9
204	-0.975063	0.250000	0.000041	0.8
205	-0.975074	0.250000	0.000041	0.7
206	-0.975084	0.250000	0.000042	0.7
207	-0.975086	0.250000	0.000042	0.8
208	-0.975096	0.250000	0.000043	0.8
209	-0.975107	0.250000	0.000043	0.7
210	-0.975109	0.250000	0.000043	0.7
211	-0.975120	0.250000	0.000043	0.7
212	-0.975131	0.250000	0.000043	0.8
213	-0.975141	0.250000	0.000043	0.7
214	-0.975152	0.250000	0.000043	0.8
215	-0.975163	0.250000	0.000045	0.7
216	-0.975174	0.250000	0.000046	0.7
217	-0.975184	0.250000	0.000044	0.8
218	-0.975195	0.250000	0.000043	0.7
219	-0.975205	0.250000	0.000043	0.8
220	-0.975206	0.250000	0.000042	0.7
221	-0.975216	0.250000	0.000042	0.9
222	-0.975227	0.250000	0.000042	0.9
223	-0.975237	0.250000	0.000042	0.9
224	-0.975247	0.250000	0.000041	0.7
225	-0.975257	0.250000	0.000041	0.8
226	-0.975259	0.250000	0.000040	0.7
227	-0.975269	0.250000	0.000040	0.7
228	-0.975279	0.250000	0.000040	0.7
229	-0.975280	0.250000	0.000040	0.7
230	-0.975290	0.250000	0.000041	0.7
231	-0.975300	0.250000	0.000041	0.7
232	-0.975310	0.250000	0.000041	0.8
233	-0.975320	0.250000	0.000041	0.8
234	-0.975330	0.250000	0.000041	0.8
235	-0.975340	0.250000	0.000040	0.7
236	-0.975350	0.250000	0.000041	0.7
237	-0.975360	0.250000	0.000042	0.8
238	-0.975370	0.250000	0.000041	0.7
239	-0.975379	0.250000	0.000041	0.8
240	-0.975389	0.250000	0.000042	0.7
241	-0.975398	0.250000	0.000041	0.8
242	-0.975408	0.250000	0.000040	0.9
243	-0.975418	0.250000	0.000041	1.2
244	-0.975420	0.250000	0.000042	0.9
245	-0.975430	0.250000	0.000041	0.7
246	-0.975439	0.250000	0.000039	0.7
247	-0.975449	0.250000	0.000040	0.7
248	-0.975458	0.250000	0.000040	0.7
249	-0.975467	0.250000	0.000038	0.7
250	-0.975476	0.250000	0.000038	0.8
251	-0.975485	0.250000	0.000038	0.9
252	-0.975494	0.250000	0.000038	0.7
